"","inv_cogn1","inv_cogn2","inv_cognNews","inv_beh1","inv_beh_p1","inv_beh_p2","inv_beh_p3","inv_beh_p4","inv_beh_p5","inv_beh2","discourse1","discourse2","attitude","mean_involvement"
"5158",3,3,3,1,0,0,0,0,0,0,3,0,8,3
"5159",NA,NA,NA,1,0,0,0,0,0,0,NA,0,3,NA
"5160",2,2,3,1,0,0,0,0,0,0,3,0,3,2.33333333333333
"5161",2,2,3,1,0,0,0,0,0,0,3,0,5,2.33333333333333
"5162",2,2,3,1,0,0,0,0,0,0,2,0,8,2.33333333333333
"5163",3,1,3,1,0,0,0,0,0,0,2,0,6,2.33333333333333
"5164",2,2,3,0,0,0,0,0,0,0,2,0,6,2.33333333333333
"5165",2,1,3,1,0,0,0,0,0,0,1,0,6,2
"5166",3,2,3,1,0,0,0,0,0,0,2,0,7,2.66666666666667
"5167",2,2,3,1,0,0,0,0,1,2,3,1,4,2.33333333333333
"5168",3,3,3,1,1,0,1,0,0,2,3,1,5,3
"5169",3,3,3,1,0,0,0,0,0,0,3,0,6,3
"5170",2,2,3,NA,-9,-9,-9,-9,-9,NA,2,NA,7,2.33333333333333
"5171",3,2,3,1,0,0,0,0,0,0,3,0,6,2.66666666666667
"5172",3,3,3,1,0,0,0,0,0,0,3,0,NA,3
"5173",2,2,3,1,0,0,0,0,0,0,2,0,10,2.33333333333333
"5174",NA,NA,NA,1,0,0,0,0,0,0,NA,0,3,NA
"5175",2,2,1,1,0,0,0,0,0,0,1,0,NA,1.66666666666667
"5176",2,2,3,1,0,0,0,0,0,0,3,0,6,2.33333333333333
"5177",3,2,3,1,0,0,0,0,0,0,2,0,5,2.66666666666667
"5178",2,2,3,NA,-9,-9,-9,-9,-9,NA,2,NA,NA,2.33333333333333
"5179",2,2,3,1,0,0,1,0,0,1,2,0,3,2.33333333333333
"5180",2,2,3,1,0,0,0,0,0,0,3,0,NA,2.33333333333333
"5181",2,2,3,0,0,0,0,0,0,0,1,0,5,2.33333333333333
"5182",2,2,3,NA,0,0,0,0,0,1,2,1,7,2.33333333333333
"5183",2,3,3,1,0,0,0,0,0,1,3,1,0,2.66666666666667
"5184",3,2,3,1,0,0,0,0,0,0,2,0,3,2.66666666666667
"5185",3,3,3,1,0,0,0,0,0,0,3,0,3,3
"5186",3,3,3,1,0,0,0,1,1,3,3,1,2,3
"5187",3,2,3,1,0,0,0,0,0,0,3,0,3,2.66666666666667
"5188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5189",3,2,3,0,0,0,0,0,0,0,2,0,6,2.66666666666667
"5190",3,3,3,1,0,0,0,0,0,0,3,0,5,3
"5191",3,3,3,1,0,0,0,0,0,0,3,0,6,3
"5192",NA,NA,NA,1,0,0,0,0,0,0,NA,0,6,NA
"5193",2,2,3,1,0,0,0,0,0,0,3,0,3,2.33333333333333
"5194",3,2,3,1,0,0,0,0,0,0,3,0,8,2.66666666666667
"5195",2,2,3,1,0,0,0,0,0,0,2,0,5,2.33333333333333
"5196",3,3,3,1,0,0,0,0,0,0,3,0,3,3
"5197",3,3,3,1,0,0,0,0,0,1,3,1,3,3
"5198",2,2,3,1,0,0,0,0,0,0,1,0,6,2.33333333333333
"5199",3,3,3,1,0,0,0,0,0,0,2,0,7,3
"5200",2,1,3,1,0,0,0,0,0,0,1,0,5,2
"5201",2,2,3,1,0,0,0,0,0,0,2,0,6,2.33333333333333
"5202",3,2,3,1,0,0,0,0,0,0,2,0,7,2.66666666666667
"5203",2,1,3,1,0,0,0,0,0,0,2,0,3,2
"5204",1,1,3,1,0,0,0,0,0,0,3,0,7,1.66666666666667
"5205",3,2,3,1,0,0,0,0,0,0,2,0,7,2.66666666666667
"5206",2,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.33333333333333
"5207",2,2,3,0,0,0,0,0,0,0,3,0,NA,2.33333333333333
"5208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5209",3,2,3,1,0,0,0,0,0,0,2,0,6,2.66666666666667
"5210",2,2,3,1,0,1,0,0,0,1,3,0,2,2.33333333333333
"5211",2,2,3,1,0,0,0,0,0,0,2,0,8,2.33333333333333
"5212",3,3,3,1,0,0,0,0,0,0,3,0,3,3
"5213",2,2,3,NA,0,0,0,0,0,0,3,0,3,2.33333333333333
"5214",2,2,3,1,0,0,0,0,0,0,1,0,5,2.33333333333333
"5215",3,2,3,1,0,0,0,0,0,0,3,0,4,2.66666666666667
"5216",3,2,3,1,0,0,0,0,0,0,2,0,2,2.66666666666667
"5217",2,1,3,1,-9,-9,-9,-9,-9,NA,2,NA,5,2
"5218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5219",3,3,3,1,0,1,0,0,0,2,3,1,4,3
"5220",3,3,3,NA,0,0,0,0,0,0,2,0,4,3
"5221",3,3,3,1,0,0,0,0,0,0,3,0,5,3
"5222",2,2,3,1,0,0,0,0,0,0,1,0,5,2.33333333333333
"5223",3,2,3,1,0,1,1,1,0,4,3,1,3,2.66666666666667
"5224",1,1,1,0,0,0,0,0,0,0,1,0,NA,1
"5225",1,1,1,NA,0,0,0,0,0,0,1,0,NA,1
"5226",3,3,3,1,0,0,0,0,0,0,3,0,5,3
"5227",3,3,3,1,0,0,0,0,0,0,3,0,8,3
"5228",2,2,3,1,0,0,0,0,0,0,2,0,1,2.33333333333333
"5229",2,2,3,0,0,0,0,0,0,0,3,0,3,2.33333333333333
"5230",3,2,3,1,0,0,0,0,0,1,1,1,3,2.66666666666667
"5231",3,3,3,1,0,0,0,0,0,0,3,0,7,3
"5232",2,2,3,0,0,0,0,0,0,0,3,0,NA,2.33333333333333
"5233",2,2,3,0,0,0,0,0,0,0,3,0,5,2.33333333333333
"5234",2,1,3,NA,-9,-9,-9,-9,-9,NA,1,NA,NA,2
"5235",NA,NA,NA,1,0,0,0,0,0,1,NA,1,5,NA
"5236",2,1,3,1,0,0,0,0,0,0,1,0,NA,2
"5237",2,2,3,1,0,0,0,0,0,0,2,0,5,2.33333333333333
"5238",2,2,3,1,0,0,0,0,0,0,2,0,NA,2.33333333333333
"5239",3,3,3,1,0,0,0,0,0,0,3,0,5,3
"5240",2,2,3,1,0,0,0,0,0,0,3,0,7,2.33333333333333
"5241",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"5242",NA,NA,NA,1,0,0,0,0,0,0,NA,0,3,NA
"5243",3,3,3,1,0,0,0,0,0,0,3,0,0,3
"5244",3,3,3,1,0,0,0,0,0,0,3,0,7,3
"5245",2,1,1,0,0,0,0,0,0,0,1,0,NA,1.33333333333333
"5246",2,1,3,NA,0,0,0,0,0,0,2,0,7,2
"5247",3,2,3,1,0,0,0,0,0,0,3,0,3,2.66666666666667
"5248",3,2,3,1,0,0,0,0,0,0,2,0,5,2.66666666666667
"5249",2,2,3,0,-9,-9,-9,-9,-9,NA,2,NA,NA,2.33333333333333
"5250",1,1,3,1,0,0,0,0,0,0,1,0,10,1.66666666666667
"5251",3,2,3,1,0,0,0,0,0,0,2,0,4,2.66666666666667
"5252",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"5253",2,2,3,1,0,0,0,0,0,0,3,0,6,2.33333333333333
"5254",3,3,3,NA,-9,-9,-9,-9,-9,NA,3,NA,10,3
"5255",2,2,3,1,0,0,0,0,0,0,2,0,6,2.33333333333333
"5256",3,2,3,1,0,0,1,0,0,1,2,0,8,2.66666666666667
"5257",NA,NA,NA,1,0,0,0,0,0,0,NA,0,5,NA
"5258",2,2,3,1,0,0,0,0,0,0,3,0,7,2.33333333333333
"5259",2,2,3,1,0,0,0,0,0,0,2,0,6,2.33333333333333
"5260",3,3,3,1,0,0,0,0,0,0,3,0,8,3
"5261",2,2,3,1,0,0,0,0,0,0,3,0,7,2.33333333333333
"5262",3,3,3,1,0,0,0,0,0,0,3,0,7,3
"5263",3,2,3,1,0,0,0,0,0,0,2,0,4,2.66666666666667
"5264",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"5265",3,2,3,1,0,0,0,0,0,0,3,0,7,2.66666666666667
"5266",3,2,3,1,1,0,0,1,0,2,3,1,1,2.66666666666667
"5267",2,2,3,1,0,0,0,0,0,0,3,0,7,2.33333333333333
"5268",2,2,3,1,0,0,0,0,0,0,3,0,8,2.33333333333333
"5269",2,1,1,1,0,0,0,0,0,0,1,0,NA,1.33333333333333
"5270",2,2,3,1,0,0,0,0,0,0,2,0,6,2.33333333333333
"5271",1,1,3,1,-9,-9,-9,-9,-9,NA,1,NA,NA,1.66666666666667
"5272",3,3,3,1,0,1,1,0,0,2,2,0,7,3
"5273",3,3,3,1,0,0,0,0,0,0,3,0,7,3
"5274",2,2,3,1,0,0,0,0,0,0,2,0,3,2.33333333333333
"5275",2,2,3,1,0,0,0,0,0,0,1,0,7,2.33333333333333
"5276",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"5277",3,3,3,1,0,0,0,0,0,0,3,0,7,3
"5278",2,2,3,1,0,0,0,0,0,0,2,0,2,2.33333333333333
"5279",2,2,3,0,0,0,0,0,0,0,1,0,NA,2.33333333333333
"5280",2,2,3,1,0,0,0,0,0,0,1,0,8,2.33333333333333
"5281",2,2,3,1,0,0,0,0,0,0,3,0,6,2.33333333333333
"5282",2,2,3,1,0,0,0,0,0,0,2,0,3,2.33333333333333
"5283",3,2,3,1,0,0,0,0,0,0,3,0,7,2.66666666666667
"5284",3,2,3,1,0,0,0,0,1,1,3,0,6,2.66666666666667
"5285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5286",3,3,3,1,0,0,0,0,0,0,3,0,4,3
"5287",2,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.33333333333333
"5288",3,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.66666666666667
"5289",2,1,3,1,0,0,0,0,0,0,2,0,NA,2
"5290",3,2,3,1,0,0,0,0,0,0,2,0,9,2.66666666666667
"5291",3,1,3,0,0,0,0,0,0,0,1,0,NA,2.33333333333333
"5292",3,2,3,1,0,0,0,0,0,0,2,0,2,2.66666666666667
"5293",2,1,3,0,0,0,0,0,0,0,1,0,NA,2
"5294",2,1,1,1,0,0,0,0,0,0,3,0,5,1.33333333333333
"5295",3,3,3,1,0,0,0,0,0,1,3,1,8,3
"5296",NA,NA,NA,1,0,0,0,0,0,0,NA,0,5,NA
"5297",3,2,3,1,0,0,0,0,0,0,3,0,7,2.66666666666667
"5298",3,3,3,1,0,0,0,0,1,2,3,1,2,3
"5299",3,1,3,1,0,0,0,0,0,0,3,0,7,2.33333333333333
"5300",2,2,3,1,0,0,0,0,0,0,3,0,4,2.33333333333333
"5301",3,3,3,1,0,0,0,0,0,0,3,0,2,3
"5302",3,2,3,1,0,0,0,0,0,0,2,0,3,2.66666666666667
"5303",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"5304",3,2,3,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2.66666666666667
"5305",3,2,3,1,0,0,0,0,0,0,3,0,6,2.66666666666667
"5306",2,2,3,0,0,0,0,0,0,0,2,0,5,2.33333333333333
"5307",3,3,3,1,0,0,0,0,0,0,2,0,6,3
"5308",3,2,3,1,1,0,1,0,0,1,2,0,4,2.66666666666667
